"Latitude" "Longitude" "bio1" "bio2" "bio7" "bio10" "bio12" "bio13" "dem" "X9"
24.91 118.69	20.368	5.85573	21.9188	27.5635	1109	191	11	1
22.24 114.01	22.3633	4.9	18.16	27.8167	1895	333	58	1
22.65 114.52	21.7404	6.10049	20.0824	27.3627	1946	328	142	1
21.16 110.45	23.2201	5.33472	18.5333	28.5167	1722	294	5	1
21.5 109.77	22.9506	6.13929	20.3	28.6381	1636	292	7	1
21.62 108.23	22.4264	6.17639	20.225	28.1389	2165	446	6	1
19.74 109.23	24.6686	6.86136	17.5727	28.9985	1486	273	5	1
18.22 109.62	25.3106	6.55909	14.1636	28.225	1452	296	98	1
11.82 122.17	27.425	6.49744	9.45385	28.5	3520	520	23	2
10.2 118.9	26.5788	6.90379	8.98182	27.3955	1764	252	138	2
10.66 103.86	27.6553	7.37732	11.3889	28.813	3425	687	4	1
2.45 111.59	26.3085	8.44022	9.53478	26.8391	3201	443	12	3
1.67 110.33	26.5273	7.91574	9.12778	27.0639	4091	730	25	3
1.31 103.43	25.8975	6.80167	8.24	26.4033	2287	250	11	4
3.35 101.25	27.051	8.83133	9.756	27.4707	2322	289	7	4
3.82 103.33	26.8398	8.13767	9.728	27.57	3031	659	22	4
9.23 99.86	27.7091	7.54348	10.3478	28.863	1724	413	87	4
9.23 99.86	27.7091	7.54348	10.3478	28.863	1724	413	87	5
9.45 99.26	27.5075	8.49389	12.1067	28.6044	1604	372	8	4
9.45 99.26	27.5075	8.49389	12.1067	28.6044	1604	372	8	5
9.95 98.61	27.0259	8.44129	12.5636	28.1614	3655	682	8	1
6.94 99.71	27.096	8.08043	10.7174	27.9268	2012	286	8	1
8.35 98.5	27.4697	8.39035	11.4737	28.407	2819	460	9	1
1.42 103.97	26.7576	6.64657	8.11765	27.3431	2283	316	13	3
1.42 103.97	26.7576	6.64657	8.11765	27.3431	2283	316	13	4
0.15 99.8	26.2265	8.875	9.976	26.6873	3625	431	49	1
-7.73 109.01	26.6968	7.38974	8.96923	27.2423	2937	388	7	1
-8.34 115.09	19.414	7.31133	8.82	19.832	2536	401	1149	1
-0.89 131.28	27.6383	6.90833	8.13636	28.0318	3103	376	12	6
-0.89 131.28	27.6383	6.90833	8.13636	28.0318	3103	376	12	7
-0.34 130.93	26.9849	6.27885	7.31539	27.2731	2786	340	66	6
-0.34 130.93	26.9849	6.27885	7.31539	27.2731	2786	340	66	7
-12.41 130.82	27.2764	8.95833	14.7333	28.8222	1784	466	7	8
-12.33 130.89	27.3056	8.98571	15.1238	28.9659	1779	472	18	8
-12.33 130.89	27.3056	8.98571	15.1238	28.9659	1779	472	18	9
-16.27 145.4	24.5813	8.06133	14.64	27.0947	2207	453	11	10
-16.27 145.4	24.5813	8.06133	14.64	27.0947	2207	453	11	11
-27.41 153.15	20.7094	9.69958	19.855	24.9417	1229	166	4	10
-34.02 151.16	17.569	8.24643	18.1929	21.869	1158	135	5	10
21.85 89.77	25.9669	7.61974	19.021	28.8789	2340	544	10	12
9.13 76.48	27.51	7.07444	10.5933	29.0011	2846	586	8	12
7.56 79.8	27.5397	7.13667	11.412	28.582	1519	276	7	12
6.04 80.82	26.9198	5.65208	8.2	27.6625	1421	234	11	12
7.71 81.71	28.151	6.75208	10.1	29.65	1676	417	7	12
