42 14 11 2
Locus1
Locus2
Locus3
Locus4
Locus5
Locus6
Locus7
Locus8
Locus9
Locus10
Locus11
Locus12
Locus13
Locus14
   1    404    305    606    409    709    404    203    407    505    307    404    505    303    101 
   1    404    406    606    409    808    404    102    606    404    404    204    606    103    203 
   1    404    406    606    409    808    404    207    507    204    707    404    606    202    305 
   1    404    406    606    610    909    505    203    606    505    404    404    506    203    103 
   1    303    505    506    408    808    404    103    407    405    406    204    606    304    305 
   1    404    406    606    410    709    505    202    707    304    707    404    506    103    303 
   1    404    406    606    510    909    404    202    406    304    407    404    507    304    305 
   1    404    505    306    303    808    404    207    606    304    606    404    606    102    305 
   1    404    406    606    409    509    404    203    507    505    707    304    505    305    103 
   1    404    406    606    609    707    404    102    404    304    303    404    606    303    103 
   2    404    303    505    409    808    505    203    407    304    707    404    606    103    102 
   2    404    406    607    408    707    404    202    707    304    407    404    607    202    203 
   2    304    303    607    410    808    404    203    203    505    307    404    606    303    305 
   2    404    406    505    510    808    505    103    606    204    707    304    606    103    101 
   2    304    505    607    303    808    404    303    507    505    607    204    507    202    303 
   2    404    505    607    610    709    407    101    606    204    707    404    506    203    305 
   2    304    505    506    409    909    505    207    407    204    704    404    506    303    303 
   2    303    406    305    510    808    407    101    707    304    407    204    606    103    205 
   2    304    406    607    303    509    405    203    406    204    707    304    506    303    102 
   2    404    305    607    409    707    507    202    606    205    406    202    506    102    101 
   2    404    406    506    610    808    404    202    202    205    606    404    606    305    203 
   2    303    406    607    505    707    707    207    404    204    204    404    505    303    305 
   2    304    505    606    405    507    505    707    404    404    607    204    606    103    103 
   2    303    405    506    910    508    407    103    303    405    707    304    505    305    305 
   2    303    406    707    606    509    404    303    304    203    606    404    506    103    303 
   2    404    606    507    404    707    507    202    303    203    707    404    608    103    305 
   2    204    606    307    510    808    404    203    202    405    606    204    508    303    305 
   2    303    404    606    510    809    707    207    203    305    606    304    506    303    303 
   2    304    405    606    506    505    405    307    407    505    607    304    707    103    505 
   2    404    404    506    306    909    505    202    407    205    306    404    508    202    303 
   3    404    606    507    404    808    505    203    606    304    707    404    608    203    205 
   3    304    506    507    505    709    508    107    507    307    707    104    508    304    101 
   3    404    506    505    506    909    407    307    606    505    606    304    505    103    101 
   3    304    505    607    404    808    404    202    407    304    404    304    707    304    203 
   3    303    505    607    310    509    507    207    707    307    607    404    508    102    305 
   3    204    506    506   1010    707    404    103    406    304    407    204    506    305    103 
   3    303    506    507    405    808    707    203    606    505    406    404    505    303    303 
   3    203    406    306    909    606    405    202    507    204    606    304    606    304    303 
   3    404    404    707    410    808    808    202    404    505    207    202    505    103    305 
   3    404    404    307    910    506    404    707    407    204    607    203    505    304    305 
   3    303    407    607    406    607    707    203    707    206    707    104    608    102    303 
   3    304    406    607    305    508    405    202    203    304    606    404    508    305    505 
   3    404    606    606    405    809    407    101    606    507    407    203    505    303    205 
   3    303    607    506    910    909    405    203    507    205    606    304    708    103    505 
   3    304    507    506    910    708    505    202    606    205    606    204    506    202    101 
   3    202    707    606    610    509    508    102    407    204    306    203    506    303    102 
   4    404    303    505    505    808    505    203    404    204    204    404    506    103    101 
   4    404    303    607    510    707    404    202    303    505    607    404    506    103    101 
   4    303    303    305    510    808    404    102    404    204    707    404    506    305    102 
   4    404    406    506    506    808    505    203    404    204    606    103    506    103    101 
   4    404    404    507    505    808    404    202    404    304    707    404    505    103    102 
   4    303    303    506    406    708    407    101    303    204    606    404    606    303    105 
   4    303    304    505    505    707    405    203    404    202    707    203    707    303    101 
   4    303    404    505    404    808    507    202    303    202    606    104    508    103    101 
   4    404    406    506    505    608    404    202    303    303    407    404    506    202    203 
   4    404    404    606    410    608    707    103    303    304    606    202    505    203    305 
   4    303    303    606    606    709    505    202    303    203    606    304    606    304    103 
   4    404    303    505    404    609    407    101    304    204    307    204    505    103    205 
   4    404    303    507    505    808    404    202    303    505    206    203    505    303    303 
